id,idade,tempo_cliente,mensalidade,suporte_ligacoes,tem_servico_extra,pagamento_em_dia,churn
1,56,28,117.26,9,0,1,1
2,69,48,157.89,8,0,1,1
3,46,38,149.42,0,0,1,1
4,32,31,134.51,4,0,1,1
5,60,14,167.58,4,0,1,0
6,25,29,166.11,1,1,1,0
7,38,51,146.5,0,1,1,1
8,56,49,170.18,5,0,0,0
9,36,43,106.8,6,0,0,1
10,40,5,183.37,8,0,1,1
11,28,42,146.09,7,0,0,1
12,28,7,175.13,9,0,1,1
13,41,42,136.48,2,1,1,1
14,70,36,90.58,8,1,1,0
15,53,27,135.94,0,1,1,0
16,57,58,111.96,5,1,1,0
17,41,46,157.65,9,0,1,1
18,20,66,126.61,1,0,1,1
19,39,25,177.06,9,0,1,1
20,70,27,154.93,8,1,1,1
21,19,1,155.84,8,0,1,1
22,41,42,90.4,7,1,1,0
23,61,52,197.79,6,0,1,1
24,47,25,177.83,5,1,1,1
25,55,54,170.46,1,0,1,1
26,19,67,106.23,3,0,1,0
27,38,6,134.99,9,1,1,0
28,50,58,79.19,6,0,1,0
29,29,70,135.39,5,1,1,0
30,39,53,80.42,8,0,1,0
31,61,66,137.43,4,1,1,1
32,42,58,150.82,5,0,1,1
33,66,2,114.63,9,0,1,0
34,44,22,129.8,5,1,1,0
35,59,37,182.59,7,0,0,1
36,45,20,75.2,7,0,0,1
37,33,24,170.84,5,1,1,0
38,32,65,83.91,7,1,1,1
39,64,65,65.14,6,0,1,0
40,68,1,85.98,0,0,1,1
41,61,3,167.11,4,1,0,1
42,72,46,116.72,9,1,1,1
43,69,55,182.15,9,1,1,0
44,74,64,133.46,9,0,1,0
45,20,45,63.12,4,0,1,0
46,54,26,160.34,9,0,1,0
47,68,65,75.43,8,0,1,0
48,24,24,170.51,6,0,1,1
49,38,35,83.53,6,0,1,1
50,26,24,108.36,9,0,1,0
51,56,28,166.58,1,0,1,1
52,35,16,193.59,7,1,1,1
53,21,59,112.0,2,1,1,0
54,42,54,176.12,8,0,1,1
55,31,16,86.71,5,1,1,0
56,67,15,173.01,8,1,0,1
57,26,11,152.05,8,0,1,1
58,43,65,86.98,6,0,1,0
59,70,68,102.35,9,0,1,0
60,19,43,78.45,7,0,1,0
61,37,69,113.62,1,0,1,1
62,45,13,88.51,4,0,1,0
63,64,10,150.16,2,0,1,0
64,24,41,199.23,0,0,0,0
65,61,50,61.68,5,0,1,1
66,25,71,135.73,8,0,1,0
67,64,59,140.31,1,0,1,0
68,52,39,187.99,8,0,0,1
69,31,3,130.84,7,0,1,1
70,34,7,136.12,8,1,0,1
71,53,49,126.03,4,1,1,0
72,67,26,97.65,1,0,1,1
73,57,33,67.84,9,1,1,0
74,21,48,117.21,9,1,1,0
75,19,2,67.36,5,0,1,1
76,23,71,137.07,6,0,1,1
77,71,32,103.02,2,0,1,0
78,59,4,134.7,5,0,1,1
79,21,20,78.8,5,0,1,1
80,71,36,190.57,7,0,1,1
81,46,32,185.23,0,1,1,0
